Index,Plaza Code,Plaza Name,"Concessio naire
Type",Plaza Type,Plaza Sub Typ,Sate,City,Concessionaire,Geo Codes,Longitude,Latitudes,,
131,556027,"Bannerghatta
Road (P2) Plaza",Conc,TOLL,STATE,Karnataka,Bengaluru,"Nandi Economic
Corridor","12.850056,77.588333",12.850056,77.588333,,
132,345088,"Bansa (Damoh)
Toll Plaza",Conc.,TOLL,STATE,Madhya Pradesh,Damoh,"RSI STONE
WORLD PVT","23.805957, 79.370837",23.805957,79.370837,,
133,370001,Banskopa Plaza,Conc.,TOLL,NATIONAL,West Bengal,Durgapur,M/s IL&FS,"23.4916993,87.3768623",23.4916993,87.3768623,,
134,330069,Banthri,PF,TOLL,NATIONAL,Rajasthan,Ajmer,NHAI,"27.271443,74.345791",27.271443,74.345791,,
135,326005,"Banushi Toll
Plaza",PF,TOLL,NATIONAL,Uttarakhand,Dehradun,NHAI,"28.932477,79.929189",28.932477,79.929189,,
136,320070,Bara Toll Plaza,PF,TOLL,NATIONAL,Uttar Pradesh,Haidergarh,NHAI,"26.6294023,81.3329506",26.6294023,81.3329506,,
137,370036,Barai Toll Plaza,PF,TOLL,NATIONAL,West Bengal,Raiganj,NHAI,"25.670914, 88.080268",25.670914,88.080268,,
138,28001,"Barajore toll
plaza",Conc.,TOLL,NATIONAL,Uttar Pradesh,"Kanpur
Dehat",NHAI,"26.3854208,80.018945",26.3854208,80.018945,,
139,345036,"Baretha KM
21.120",Conc.,TOLL,NATIONAL,Madhya Pradesh,Gwalior,"MP Highways
Pvt. Ltd","26.320813,78.272572",26.320813,78.272572,,
140,125003,Baretha or Jajau,Conc.,TOLL,NATIONAL,Uttar Pradesh,Agra,"Agra Gwalior
Pathways","26.932005,77.933357",26.932005,77.933357,,
141,31001,"Barkheda Toll
Plaza",Conc.,TOLL,NATIONAL,Rajasthan,Jaipur,IRB,"26.68816,75.904726",26.68816,75.904726,,
142,545039,Baroli Toll Plaza,Conc.,TOLL,STATE,Madhya Pradesh,Indore,"Mahakaleshwar
Tollways","22.816212,75.848384",22.816212,75.848384,,
143,201002,Baros Toll Plaza,Conc.,TOLL,NATIONAL,Uttar Pradesh,Hathras,"Brijbhoomi
Expressway","27.335508,78.031048",27.335508,78.031048,,
144,330126,"Barsalpur Toll
Plaza",PF,TOLL,NATIONAL,Rajasthan,Goru,NHAI,"28.047877, 72.349573",28.047877,72.349573,,
145,380017,"Barsoni Toll
Plaza",PF,TOLL,NATIONAL,Bihar,Purnia,NHAI,"25.804725,87.590748",25.804725,87.590748,,
146,550022,"Basanthnagar
Toll Plaza",Conc.,TOLL,STATE,Telangana,Karimnagar,"HKR
ROADWAYS","18.7042, 79.417",18.7042,79.417,,
147,352037,"Basapuram Toll
Plaza",PF,TOLL,NATIONAL,Andhra pradesh,Mydukur,NHAI,"14.7082937,78.8723146",14.7082937,78.8723146,,
148,520038,"Basheerapur
Toll Plaza",PF,TOLL,NATIONAL,Uttar Pradesh,Kannauj,"Inderdeep
Construction Co","27.073778, 79.843390",27.073778,79.84339,,
149,313004,Bass Toll Plaza,PF.,TOLL,NATIONAL,Haryana,Bass,NHAI,"29.127304,76.209427",29.127304,76.209427,,
150,330095,Bassi,PF,TOLL,NATIONAL,Rajasthan,Chittaurgarh,"Chittorgarh
Kota Toll Ways","25.033192,74.816392",25.033192,74.816392,,completed
151,340019,"Baswant Toll
Plaza",PF,TOLL,NATIONAL,Maharashtra,Nashik,NHAI,"20.141754,73.9764485",20.141754,73.9764485,,
152,352055,"Bathalapalli Toll
Plaza",PF,TOLL,NATIONAL,Andhra Pradesh,Bathalapalli,NHAI,"14.50018,77.79659",14.50018,77.79659,,
153,556041,"Beechagondana
halli",Conc.,TOLL,STATE,Karnataka,"Beechagond
anahalli",KRDCL,"13.263241, 77.944733",13.263241,77.944733,,
154,330128,"Beer Mandi Toll
Plaza",PF,TOLL,NATIONAL,Rajasthan,Suket,"Patel Darah
Jhalawar","24.642639, 76.027472",24.642639,76.027472,,
155,314027,Behram,PF,TOLL,NATIONAL,Punjab,Behram,NHAI,"31.2044330,75.8767990",31.204433,75.876799,,
156,545020,Bela,Conc.,TOLL,STATE,Madhya Pradesh,Sagar,"DBL Tikamgarh-
Nowgoav","25.076435,79.327525",25.076435,79.327525,,
157,345094,Bela Toll Plaza,PF,TOLL,NATIONAL,Madhya Pradesh,"Rampur
Baghelan",NHAI,"24.493444, 81.143406",24.493444,81.143406,,
158,356006,Belekeri,Conc.,TOLL,NATIONAL,Karnataka,Hattikeri,"IRB Westcoast
Tollway","14.7104272,74.2935113",14.7104272,74.2935113,,
159,320134,Belgada Toll Plaza,PF,TOLL,NATIONAL,Uttar Pradesh,Gorakhpur,NHAI,"27.11918695074507,
82.89602275148907",27.11918695,82.89602275,,
160,209001,"Beliyad toll
plaza",Conc.,TOLL,NATIONAL,Jharkhand,Dhanbad,M/s IL&FS,"23.763627,86.79803",23.763627,86.79803,,
161,118002,Bellur Toll Plaza,Conc.,TOLL,NATIONAL,Karnataka,Mandya,"LANCO
DEVANHALI","12.9628049,76.7704144",12.9628049,76.7704144,,
162,320091,"Belon TOLL
PLAZA",PF,TOLL,NATIONAL,Uttar Pradesh,Narora,NHAI,"28.1884316,78.3480532",28.1884316,78.3480532,,
163,520022,Belsari,Conc.,TOLL,STATE,Uttar Pradesh,Ghazipur,"Prakash
Asphalting &","25.6376960, 83.8398360",25.637696,83.839836,,
164,326007,"Bhadarabad
TOLL PLAZA",PF,TOLL,NATIONAL,Uttarakhand,Bhadarabad,NHAI,"29.911694,78.020722",29.911694,78.020722,,
165,336025,"Bhadbhid Fee
Plaza",PF,TOLL,NATIONAL,Gujarat,Bhavnagar,"Ganeshgarhia
Construction","21.985168, 72.091870",21.985168,72.09187,,
166,330017,"Bhadera Toll
Plaza",BOT,TOLL,NATIONAL,Rajasthan,Bikaner,MoRTH,"28.594353,73.810058",28.594353,73.810058,,
